"Campaign","Category","Sub-Category","Backers","Pledged","Goal","Outcome","Country","Campaign Length","Campaign Bucket"
"Ragdolls","Film & Video","Webseries",3,"20","15000","failed","US",30,"Medium"
"One To Ten","Film & Video","Shorts",23,"521","282","successful","GB",30,"Medium"
"Mistakes","Film & Video","Film & Video",3,"55","1000","failed","US",24,"Medium"
"HISAPP","Technology","Technology",0,"0","44400","failed","CA",60,"Long"
"Future Gun - A short film about kids and advanced hardware","Film & Video","Animation",28,"1497","5000","failed","US",30,"Medium"
"Fourth Wave ApparelVintage Fashion for the Modern Feminist","Fashion","Apparel",218,"8795","6000","successful","US",30,"Medium"
"My Sewing Dream","Crafts","Embroidery",1,"1","8000","failed","US",30,"Medium"
"The Rich Lifestyle","Film & Video","Documentary",2,"2","2000000","failed","US",35,"Long"
"Perils Galore!","Art","Illustration",5,"230","2500","failed","US",37,"Long"
"In a Dark Dark House - Directed by Larry Moss","Theater","Theater",45,"9316","55000","failed","US",45,"Long"
"CHARLIEFOXTROTNY","Film & Video","Webseries",4,"161","6000","failed","US",30,"Medium"
"Fat Englishmen - Beer and Sumo","Film & Video","Comedy",0,"0","50000","failed","US",30,"Medium"
"10N","Design","Design",12,"291","20610","failed","GB",60,"Long"
"Lock Is Lit","Film & Video","Documentary",18,"590","50000","failed","US",47,"Long"
"Betsy keeps Busy","Publishing","Children's Books",0,"0","750","failed","US",30,"Medium"
"2 Old Hippies","Art","Art",0,"0","5000","failed","US",30,"Medium"
"bear elements old-fashioned shave and beard care for men","Crafts","Crafts",11,"306","12000","failed","US",30,"Medium"
"Sunset Chasers","Film & Video","Webseries",0,"0","6300","failed","US",30,"Medium"
"DigIndustrial Art","Art","Digital Art",4,"111","30000","failed","US",20,"Medium"
"Skyforge Cloud 3D Printing (Canceled)","Technology","3D Printing",45,"2650","30000","canceled","US",30,"Medium"
"Lono Sauces","Food","Food",211,"8564","3000","successful","US",40,"Long"
"Karma","Film & Video","Narrative Film",1,"10","100000","failed","US",30,"Medium"
"Expanding Farm to service the local Food Bank","Food","Farms",5,"405","2500","failed","US",30,"Medium"
"weirdO with a BeardO","Fashion","Fashion",1,"33","20000","failed","US",40,"Long"
"Church Hive. Church hiring made easy!","Technology","Web",2,"101","16800","failed","US",30,"Medium"
"NATALIE","Film & Video","Drama",73,"8165","6685","successful","GB",24,"Medium"
"The Visual Media Directory Project","Art","Public Art",2,"2","10000","failed","US",60,"Long"
"CNDBall","Design","Product Design",0,"0","57946","failed","CH",30,"Medium"
"POMEGRANATES - #4","Music","Music",85,"4918","2750","successful","US",45,"Long"
"MERCY: her journey through madness","Film & Video","Shorts",59,"2897","600","successful","US",25,"Medium"
"Too Sweet - The Not So Serious Side to Diabetes","Publishing","Nonfiction",6,"2525","2500","successful","US",30,"Medium"
"Baby Hungry Short Film Finishing Funds","Film & Video","Shorts",23,"1525","1500","successful","US",30,"Medium"
"The Last Son","Music","Hip-Hop",0,"0","1000","failed","US",45,"Long"
"Piece of Work","Publishing","Nonfiction",4,"130","7500","failed","US",30,"Medium"
"Turn solvents-forgive yr. blood into 12 inches of vinyl!!","Music","Music",43,"1494","1000","successful","US",30,"Medium"
"Sydney","Film & Video","Shorts",2,"30","500","failed","US",27,"Medium"
"Fishin' for Chickens","Film & Video","Shorts",75,"3667","2695","successful","US",16,"Medium"
